,ID Ticket,Fecha,ID Empleado,ID Agente,Categoría,Tipo,Severidad,Prioridad,Días Resolución,Satisfacción
0,GDDEER-9743106195,2018-01-06,759,21,Hardware,Problema,0 - Sin Clasificar,0 - Sin Asignar,7,5
1,GDDENR-9043229214,2018-05-09,521,2,Acceso-&Login,Problema,0 - Sin Clasificar,0 - Sin Asignar,0,5
2,GDDENT-9043303547,2018-07-22,1564,45,Acceso-&Login,Problema,0 - Sin Clasificar,0 - Sin Asignar,0,1
3,GDDESR-1243421724,2018-11-17,32,27,Sistema,Problema,0 - Sin Clasificar,0 - Sin Asignar,2,5
4,GDDESR-8843106588,2018-01-06,1928,45,Sistema,Problema,0 - Sin Clasificar,0 - Sin Asignar,8,5
5,GDDTER-3443328963,2018-08-16,496,29,Software,Solicitud,0 - Sin Clasificar,0 - Sin Asignar,4,5
6,GDLEER-0043411135,2018-11-07,553,31,Hardware,Problema,2 - Normal,0 - Sin Asignar,10,5
7,GDLEER-0143212153,2018-04-22,1145,21,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
8,GDLEER-0143285451,2018-07-04,1325,34,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
9,GDLEER-0143346779,2018-09-03,867,17,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
10,GDLEER-0143353759,2018-09-10,935,47,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
11,GDLEER-0243408525,2018-11-04,392,5,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
12,GDLEER-0243458762,2018-12-24,1416,17,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
13,GDLEER-0543330393,2018-08-18,1169,23,Hardware,Problema,2 - Normal,0 - Sin Asignar,5,5
14,GDLEER-0643416502,2018-11-12,1220,15,Hardware,Problema,2 - Normal,0 - Sin Asignar,6,5
15,GDLEER-0743297489,2018-07-16,1458,44,Software,Problema,2 - Normal,0 - Sin Asignar,7,5
16,GDLEER-0843315182,2018-08-03,788,41,Software,Problema,4 - Crítico,0 - Sin Asignar,8,1
17,GDLEER-0843419434,2018-11-15,1093,44,Software,Problema,2 - Normal,0 - Sin Asignar,8,5
18,GDLEER-1143334174,2018-08-22,407,11,Software,Problema,2 - Normal,0 - Sin Asignar,1,1
19,GDLEER-1143429795,2018-11-25,1219,7,Software,Problema,2 - Normal,0 - Sin Asignar,11,1
20,GDLEER-1243160078,2018-03-01,1627,40,Software,Problema,2 - Normal,0 - Sin Asignar,2,1
21,GDLEER-1243427932,2018-11-23,773,29,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
22,GDLEER-1543258536,2018-06-07,733,45,Hardware,Problema,2 - Normal,0 - Sin Asignar,5,5
23,GDLEER-1643379378,2018-10-06,347,43,Hardware,Problema,4 - Crítico,0 - Sin Asignar,6,5
24,GDLEER-2143399891,2018-10-26,1059,48,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
25,GDLEER-2143419437,2018-11-15,1863,34,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
26,GDLEER-2243166554,2018-03-07,265,35,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
27,GDLEER-2243425839,2018-11-21,1303,48,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
28,GDLEER-2343157994,2018-02-26,149,9,Software,Problema,2 - Normal,0 - Sin Asignar,3,5
29,GDLEER-2343314916,2018-08-02,1671,29,Software,Problema,2 - Normal,0 - Sin Asignar,3,5
30,GDLEER-2343321059,2018-08-09,1705,10,Software,Problema,2 - Normal,0 - Sin Asignar,3,5
31,GDLEER-2343444095,2018-12-10,1339,30,Software,Problema,2 - Normal,0 - Sin Asignar,3,5
32,GDLEER-2443397560,2018-10-24,266,25,Hardware,Problema,2 - Normal,0 - Sin Asignar,14,1
33,GDLEER-2543219482,2018-04-29,1188,14,Hardware,Problema,2 - Normal,0 - Sin Asignar,3,5
34,GDLEER-2643120196,2018-01-20,1339,31,Hardware,Problema,2 - Normal,0 - Sin Asignar,6,5
35,GDLEER-2643333810,2018-08-21,1701,18,Hardware,Problema,2 - Normal,0 - Sin Asignar,6,5
36,GDLEER-2643387535,2018-10-14,973,45,Software,Problema,2 - Normal,0 - Sin Asignar,6,1
37,GDLEER-2743416903,2018-11-12,170,19,Hardware,Problema,2 - Normal,0 - Sin Asignar,7,5
38,GDLEER-2843349098,2018-09-06,1679,40,Hardware,Problema,2 - Normal,0 - Sin Asignar,14,5
39,GDLEER-2943387033,2018-10-14,1353,20,Hardware,Problema,2 - Normal,0 - Sin Asignar,9,5
40,GDLEER-3043148410,2018-02-17,1831,24,Software,Problema,2 - Normal,0 - Sin Asignar,0,5
41,GDLEER-3143111909,2018-01-11,770,29,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
42,GDLEER-3143181532,2018-03-22,1583,15,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
43,GDLEER-3143394158,2018-10-21,1095,31,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
44,GDLEER-3143422586,2018-11-18,1178,5,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
45,GDLEER-3243294190,2018-07-13,589,21,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
46,GDLEER-3343341100,2018-08-29,20,41,Software,Problema,2 - Normal,0 - Sin Asignar,3,5
47,GDLEER-3343390722,2018-10-17,1672,7,Software,Problema,4 - Crítico,0 - Sin Asignar,3,1
48,GDLEER-3443358884,2018-09-15,1438,38,Software,Problema,2 - Normal,0 - Sin Asignar,4,5
49,GDLEER-3543365154,2018-09-22,1185,31,Hardware,Problema,2 - Normal,0 - Sin Asignar,5,5
50,GDLEER-3743150546,2018-02-19,1974,45,Hardware,Problema,2 - Normal,0 - Sin Asignar,7,1
51,GDLEER-4243154544,2018-02-23,94,25,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
52,GDLEER-4243269390,2018-06-18,59,23,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
53,GDLEER-4443144763,2018-02-13,126,47,Software,Problema,2 - Normal,0 - Sin Asignar,4,5
